Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Bide,Normal,Physical,Scene x2,"Burst 1, Set-Up",5,,"Charge Effect: Any time you take Damage from an Enemy Attack while you have Charge Tokens for Bide, gain an additional Charge Token for Bide. If the Damage from the Attack caused you to lose at least 50% of your total Hit Points, gain two additional Charge Tokens instead of one.
Resolution Effect: All Targets hit by this Attack lose Hit Points equal to your Tier Value times the number of Charge Tokens expended or half this amount if it misses. Spirit Surge ",--,Tier 2
Bind,Normal,Physical,At-Will,"Melee, 1 Target",2,4,"You may choose to mark the Target with a Bind Mark. While an Enemy has a Bind Mark, whenever they would move, you must Slide into an Adjacent unoccupied space. If you have a higher Weight Class than the Target, they cannot move on their Turn while marked this way. If you would ever enter a space not Adjacent to them, they lose the Bind Mark. You cannot apply Evasion against Attacks derrived from Enemies with your Bind Mark.",--,Tier 1
Blinding Radiance,Normal,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Radiant for the next 5 Rounds. While the Field is Radiant, non Normal Type Enemies lose a Tick of Hit Points at the start of their Turn and Normal Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Radiant, the Weather becomes Sunny.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Block,Normal,Status,EOT,"Melee, 1 Target, Versatile",3,,"The Target becomes Marked with a Blocked Mark. While a Combatant with a Blocked Mark is adjacent to the user, if they use an Attack without the Self Range, it must include the user. While a Combatant has a Blocked Mark and are within 3m of you, they are Trapped.","Same as the normal Effects, but Combatants that gain Blocked Marks this way are not Trapped. ",Tier 1
Blood Moon,Normal,Special,Scene,"8, Ranged Blast 2, Full Action, Reckless",5,14,"After Damage Calculations, the user becomes Vulnerable until the end of the next Round. Smite",--,Tier 3
Body Slam,Normal,Physical,EOT,"Melee, 1 Target, Dash",3,9,"The user may use their Total HP Stat (not Hit Points) as the Offensive Stat instead of the Attack Stat. If the Dash Keyword is Activated, on a 15+, both the user and the Target become Tripped.",--,Tier 2
Boomburst,Normal,Special,Scene,"Burst 2 or Close Blast 3; Full Action, Sonic",8,12,"All Adjacent Targets become Dazed. Smite, Spirit Surge.",--,Tier 3
Burning Light,Normal,Special,Scene x2,"5, 1 Target",3,7,"On a roll of 16+, the Target becomes Blinded until the end of their next Turn or Burned. Smite",--,Tier 2
Camouflage,Normal,Status,EOT,"Self, Swift + Movement Action, Coat",,,"The user gains a Camouflage Coat. While the user has a Camouflage Coat, they cannot be Targeted by any 1 Target Attacks and have +6 Evasion against all other Attacks. The Camouflage Coat is expended whenever the user is hit with an Attack or performs a non-Movement Action. 
*Grants Blender",--,Tier 1
Captivate,Normal,Status,EOT,"Close Blast 2, Social, Versatile",4,,"All Targets lose -2 CS in Attack or Special Attack of your choice. On a hit, the Target becomes Entranced or Provoked by you of your choice until the end of their next Turn. Spirit Surge. Friendly.",All Targets become Provoked by you until the end of their next Turn. This may only Target Enemies that are Entranced by you and it ignores the limitations of Entranced.,Tier 1
Chip Away,Normal,Physical,EOT,"Melee, 1 Target ",3,7,"The Target loses -1 CS in Defense. If they had Positive CS in Defense, they instead lose -2 CS in Defense. Spirit Surge.",--,Tier 1
Comet Punch,Normal,Physical,At-Will,"Melee, 1 Target, Punch",5,3,X is equal to the number of times this Attack would hit. Five Strike. Slide X (Away),--,Tier 1
Confide,Normal,Status,EOT,"Melee, 1 Target, Social",,,"The Target loses -2 CS in a Stat of your choice. If the Target of Confide is Targeted by a Manipulate Maneuver during your Turn, it automatically hits but must still perform the opposed Skill Check. Sureshot.",--,Tier 1
Constrict,Normal,Physical,At-Will,"Melee, 1 Target",4,5,"The Target becomes Grappled. If the user is smaller than the Target, they instead become Slowed until the end of their next Turn. ",--,Tier 1
Conversion,Normal,Status,At-Will,"Self, Versatile",,,"Choose an Attack the user knows. Until the end of the Scene, the user loses all their Types and becomes the Type of the chosen Attack. You may then turn any number of Attacks on your Attack List into the new Type until the end of the Scene. ",Choose two Attacks the user knows. Their Types are either Swapped or turn into the user's Type until the end of the Scene.,Tier 1
Copycat,Normal,Special,Scene x2,"4, 1 Target",,,Use the Attack the Target has used on their last turn. You may choose new Targets for the Attack and the Attack may be used as if it were Physical or Special. Sureshot.,--,Tier 2
Covet,Normal,Physical,At-Will,"Melee, 1 Target",2,6,"You may perform a Disarm Maneuver against the Target as a Free Action. If an Item is disarmed and the user has an empty Inventory Slot, they may equip it after Damage Calculations.",--,Tier 1
Crush Claw,Normal,Physical,EOT,"Melee, 1 Target",2,7,"If the Target has Negative Defense CS or is Vulnerable, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. Its Damage Effectiveness can only be increased this way once per Scene per Target.",--,Tier 1
Cut,Normal,Physical,At-Will,"Melee, Pass",5,5,"On a roll of 15+, the Target becomes Wounded. If this hits a Target that is already Wounded, they lose two Ticks of Hit Points. ",--,Tier 1
Defense Curl,Normal,Status,EOT,"Self, Coat, Versatile",,,The user gains +2 CS in Defense and gains a Curled Coat. While the user has a Curled Coat they cannot become Tripped. The user may expend as a Reaction the Curled Coat when using a Melee Attack to treat it as if it had the Sureshot and Slide 3 (Away) Keywords.,The user gains +1 CS in Defense or +2 Rolled Counters if they already have Rolled Counters.,Tier 1
Disable,Normal,Status,At-Will,"1 Target, Trigger",,,Disable can only be used as a Reaction whenever the user is hit by an Attack. The Triggering Attack becomes Disabled after the Attack’s Resolution. Sureshot.,--,Tier 1
Dizzy Punch,Normal,Physical,At-Will,"Melee, 1 Target, Punch",2,7,"On a roll of 16+, the Target becomes Dazed. Dizzy Punch has the Sureshot Keyword if the user is Dazed.",--,Tier 1
Doodle,Normal,Status,Scene,"6, 3 Targets",,,"When using Doodle, choose 1 of the Targets and a non-Boss or Innate Ability they know. The other Targets of this Attack learn that Ability until the end of the Scene. The user may choose themselves as one Target of this Attack. Sureshot.",--,Tier 3
Double Hit,Normal,Physical,EOT,"Melee, 1 Target ",3,4,Double Strike.,--,Tier 1
Double Team,Normal,Status,Scene x2,"Self, Coat, Versatile",,,"The user gains a Double Team Coat. The user may expend an activation of the Double Team Coat as a Free Action when being Targeted by an Attack to gain +3 Evasion against it or when using an Attack to gain a +3 Modifier to their Accuracy Roll. Activations may be expended after seeing the roll result. This Coat may be activated twice, then is removed.","Same as the normal Effects, however they can only be expended before seeing the roll result. ",Tier 2
Double-Edge,Normal,Physical,Scene x2,"Melee, 1 Target, Dash, Recoil 1/3",3,12,"If the user is at least two Size Categories larger than the Target, this Attack is treated as one step more Effective but cannot surpass 1.5x Effectiveness. If the Dash Keyword is Activated, the Recoil Keyword is ignored.",--,Tier 3
Double Slap,Normal,Physical,At-Will,"Melee, 1 Target",4,3,"If Double Slap hits at least 4 times, the Target becomes Enraged. Five Strike",--,Tier 1
Echoed Voice,Normal,Special,EOT,"3, 1 Target, Sonic",4,,"Choose a Sonic Attack used by you or an Ally this Scene. This Attack has the same Damage Base (If any) and Effect the chosen Attack. If no Sonic Attack was used this Scene, the DB for this Attack is 6. You cannot choose the same Attack twice during a Scene.",--,Tier 2
Egg Bomb,Normal,Special,Scene x2,"4, Ranged Blast 2",6,10,Any allies that are hit by this Attack gain a Tick of Temporary Hit Points instead of taking damage. Smite,--,Tier 3
Encore,Normal,Status,Scene x2,"3, 1 Target, Social, Versatile",4,,"This cannot Target an Ally. The Target gains an Encore Coat. While a Target has an Encore Coat, they can only use the last Attack they performed before gaining this Coat. When they use that Attack, it ignores and doesn't expend its Frequency. The Target may expend the Encore Coat as a Swift Action, but then they become Suppressed and that Attack becomes Disabled.",Same as the normal Effects but the Encore Coat is removed at the end of their next Turn. ,Tier 2
Endure,Normal,Status,Scene,"Self, Trigger",,,Endure can only be used as a Reaction when the user is hit by a Damaging Attack while they are at 10% Hit Points or higher. The user's hp cannot be reduced below 1 by the Triggering Attack.,--,Tier 3
Entrainment,Normal,Status,Scene x2,"4, 1 Target",,,The Target gains one of the user’s Abilities. Boss Abilities or Innate Abilites cannot be gained this way.,--,Tier 2
Extreme Speed,Normal,Physical,EOT,"Melee, 1 Target, Dash, Priority",3,8,"If the Dash or Priority Keyword is Activated, this Attack ignores Speed Evasion.",--,Tier 2
Facade,Normal,Physical,EOT,"Melee, 1 Target",3,7,This Attack's Damage Base is increased by +3 for each Affliction the user is affected by.,--,Tier 2
Fake Out,Normal,Physical,At-Will,"Melee, 1 Target, Priority ",5,5,"If Fake Out misses the Target, you may perform a Basic Attack against them as a Free Action. Spirit Surge",--,Tier 1
False Swipe,Normal,Physical,EOT,"Melee, Pass",5,6,False Swipe cannot Trigger Attacks with the Shield Keyword in response to this Attack. Smite,--,Tier 1
Feint,Normal,Status,Scene x2,"Self, Trigger",,,"Feint can only be used as a Reaction when a Target of your Attack uses a Reaction or avoids your Melee Damaging Attack. If they used a Reaction, the Effect they used it for fails and no longer applies, but doesn’t expend its Frequency (Still uses their Reaction). If they avoided the Melee Attack, the Attack is treated as having the Smite Keyword.",--,Tier 2
Fillet Away,Normal,Status,EOT,"Self, Versatile",,,"The user loses two Ticks of Hit Points, then gains +3 CS in Attack, Special Attack or Speed.","The user loses a Tick of Hit Points, then gains +1 CS in Attack, Special Attack or Speed. Fillet Away cannot be used this way if the user has a Physical Affliction.",Tier 1
Final Flash,Normal,Special,Scene,"Close Blast 2, Full Action, Reckless",5,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Flail,Normal,Physical,EOT,Burst 1,5,7,"On a roll of 16+, this Attack may be treated as one step more Effective but cannot surpass 1.5x Effectiveness, however the user becomes Dazed after. Smite",--,Tier 1
Flash,Normal,Status,EOT,"Close Blast 2, Versatile",5,,"Lower the Accuracy of all Targets by -2. On a roll of 16+, all Targets become Blinded until the end of their next Turn. *Grants Glow",All Targets have a -2 Penalty to Accuracy until the end of their next Turn.,Tier 1
Flashbang,Normal,Status,Scene x2,"Close Blast 2, Versatile",6,,"The Target becomes Blinded until the end of their next Turn. On a miss, the Target instead loses -3 Accuracy for their next attack that requires an Accuracy Roll. Spirit Surge",All Targets have a -3 Penalty to Accuracy until the end of their next Turn.,Tier 2
Focus Energy,Normal,Status,EOT,"Self, Movement Action",,,"The user’s next Attack gains +2 Critical Hit Range. If the Attack has a Melee Range, they instead gain +3 Critical Hit Range and treat the Target as Flanked. Focus Energy can also be used as a Standard Action to gain +2 Critical Hit Range for the rest of the Scene. ",--,Tier 1
Follow Me,Normal,Status,Scene x2,"Burst 2, Social, Versatile",,,"All Targets become Provoked until the end of their next Turn. Friendly, Sureshot.","Same as the normal Effects, but the range becomes 3, 1 Target.",Tier 2
Foresight,Normal,Status,EOT,"6, 1 Target, Swift Action",,,The Target gains a Foresight Mark. The user's Normal and Fighting Type Attacks may deal Damage Ghost Types with the Foresight Mark as if they were Neutral Effectiveness instead of Immune. Sureshot,--,Tier 1
Frustration,Normal,Physical,At-Will,"Melee, 1 Target",3,6,Add +3 DB to this Attack for each time the user was hit with an Attack since their last Turn and for each Mental Affliction they're affected by (Max DB 15),--,Tier 2
Fury Attack,Normal,Physical,At-Will,"Melee, 1 Target",4,3,"If the user is Enraged, the Target is treated as Vulnerable against this Attack. Five Strike",--,Tier 1
Fury Swipes,Normal,Physical,EOT,"Melee, 1 Target",4,4,"If Fury Swipes hits at least 4 times, the Target becomes Wounded. Five Strike",--,Tier 1
Giga Impact,Normal,Physical,Scene,"Melee, 1 Target, Full Action, Dash",5,15,"If this Attack is used through the Dash Keyword and the user is larger than the Target, this Attack is also treated as one step more Effective but cannot surpass 1.5x Effectiveness. Smite",--,Tier 3
Glare,Normal,Status,Scene x2,"3, 1 Target, Social, Versatile",4,,"The Target becomes Trapped. If this Attack hits, they also become Paralyzed. Spirit Surge.",The Target becomes Trapped. ,Tier 2
