Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Psychic Surge,Scene - Swift Action,"Connection - Psychic Terrain. 
Effect: You may use Psychic Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice.",,,,"Scene - Swift Action
Connection - Psychic Terrain. 
Effect: You may use Psychic Terrain as a Free Action, however it only lasts until the end of the next Round.
Bonus: At the end of the Round, if the Weather is Mystical, you may use a Reaction to gain +1 CS in a Stat of your choice."
Punk Rock,At-Will - Swift Action,"Effect: The Attack is treated as a Special Attack with a Damage Base of 6 that cannot be modified. Its effects remain the same.  
Bonus: The user gains +3 DB to damaging attacks with the Sonic keyword.",The user uses a Status Class Attack with the Sonic Keyword as a Standard Action,,,"At-Will - Swift Action
Trigger - The user uses a Status Class Attack with the Sonic Keyword as a Standard Action
Effect: The Attack is treated as a Special Attack with a Damage Base of 6 that cannot be modified. Its effects remain the same.  
Bonus: The user gains +3 DB to damaging attacks with the Sonic keyword."
Pure Flame,Static,"Effect: While the user is Enraged, under 50% Max Hit Points or in Sunny Weather, their Fire Type Attacks have the following Modifiers. If it's Range is Blast, Burst or Line Range, it is increased by +1. Their Critical Hit and Effect Ranges are increased by your Tier Level. This bonus does not stack if multiple conditions are fulfilled.",,,,"Static
Effect: While the user is Enraged, under 50% Max Hit Points or in Sunny Weather, their Fire Type Attacks have the following Modifiers. If it's Range is Blast, Burst or Line Range, it is increased by +1. Their Critical Hit and Effect Ranges are increased by your Tier Level. This bonus does not stack if multiple conditions are fulfilled."
Queenly Majesty,Scene x2 - Swift Action,"Effect: The user automatically passes this Save Check without needing to roll. 
Bonus: After Queenly Majesty is used, the user’s next Damaging Attack gains the Smite Keyword. ",The user would perform a Save Check,,,"Scene x2 - Swift Action
Trigger - The user would perform a Save Check
Effect: The user automatically passes this Save Check without needing to roll. 
Bonus: After Queenly Majesty is used, the user’s next Damaging Attack gains the Smite Keyword. "
Quick Cloak,At-Will - Extended Action,"Effect: Burmy gathers materials from the nearby Terrain and creates a Cloak for Itself. The Forest or Grasslands Terrain gives it a Plant Cloak (Grass). Desert, Cave or Mountain Terrain give it a Sandy Cloak (Ground). Urban Terrain gives it Trash Cloak (Steel). While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which becomes permanent upon evolution into a Wormadam.",,,Innate,"At-Will - Extended Action
Keywords - Innate
Effect: Burmy gathers materials from the nearby Terrain and creates a Cloak for Itself. The Forest or Grasslands Terrain gives it a Plant Cloak (Grass). Desert, Cave or Mountain Terrain give it a Sandy Cloak (Ground). Urban Terrain gives it Trash Cloak (Steel). While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which becomes permanent upon evolution into a Wormadam."
Quick Curl,Scene x2 - Reaction,"Connection - Defense Curl. 
Effect: Before the Attack's Damage Roll, the user may use Defense Curl as a Free Action, then gain Damage Reduction equal to your Tier Value until the start of your next Turn. If the user has a Rolled Coat, they gain an extra +5 DR per Counter they have for the same duration. ",The user is hit by an Attack.,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack.
Connection - Defense Curl. 
Effect: Before the Attack's Damage Roll, the user may use Defense Curl as a Free Action, then gain Damage Reduction equal to your Tier Value until the start of your next Turn. If the user has a Rolled Coat, they gain an extra +5 DR per Counter they have for the same duration. "
Radiant Beam,Static,"Effect: The user may use Grass Type Damaging Attacks as if they had the Range of “Line X”. X is equal to 4 plus the number of Positive Combat Stages in their corresponding Offensive Stat. If the Weather is Sunny, Attacks used this way gain the Smite Keyword as well. ",,,,"Static
Effect: The user may use Grass Type Damaging Attacks as if they had the Range of “Line X”. X is equal to 4 plus the number of Positive Combat Stages in their corresponding Offensive Stat. If the Weather is Sunny, Attacks used this way gain the Smite Keyword as well. "
Ragelope,Static,"Effect: The user's Physical Attacks gain the following Effect Range: On 18+, the user gains +1 CS in either Attack or Speed. While the user is Enraged this Effect Range is changed to 15+. Whenever the user gains a Status Affliction, they may become Enraged.",,,,"Static
Effect: The user's Physical Attacks gain the following Effect Range: On 18+, the user gains +1 CS in either Attack or Speed. While the user is Enraged this Effect Range is changed to 15+. Whenever the user gains a Status Affliction, they may become Enraged."
Raging Inferno,At-Will - Reaction,"Effect: The user's Fire Type Damaging Attacks have their DB increased by +2 until the end of the Scene, then, if not already, the user becomes Enraged.
Bonus: While the user is Enraged, the user's Fire Type Damaging Attacks have the Smite Keyword and have all Area of Effect Ranges increased by +1. ",The user is hit by an Attack,,,"At-Will - Reaction
Trigger - The user is hit by an Attack
Effect: The user's Fire Type Damaging Attacks have their DB increased by +2 until the end of the Scene, then, if not already, the user becomes Enraged.
Bonus: While the user is Enraged, the user's Fire Type Damaging Attacks have the Smite Keyword and have all Area of Effect Ranges increased by +1. "
Rain Dish,Scene - Swift Action,"Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Rainy Weather, the Frequency of Rain Dish isn’t expended. This Ability can only ignore its Frequency twice in a Scene.",,,,"Scene - Swift Action
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Rainy Weather, the Frequency of Rain Dish isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Rally,At-Will - Swift Action,"Effect: The Target gains a Tick of Temporary Hit Points. If the Target is Dazed, Enraged, Entranced or Provoked they may roll a DC 15 Save Check and if they pass, they may cure one of those Afflictions or Conditions.",,An Ally within 5m,,"At-Will - Swift Action
Target - An Ally within 5m
Effect: The Target gains a Tick of Temporary Hit Points. If the Target is Dazed, Enraged, Entranced or Provoked they may roll a DC 15 Save Check and if they pass, they may cure one of those Afflictions or Conditions."
Razor Edge,Static,"Connection - Poison Tail. The user gains a bonus to Critical Hit Ranges equal to their Tier Level. When using an Attack with “Tail” in its name, they have a Bonus to Damage Rolls equal to your Tier Value.",,,,"Static
Connection - Poison Tail. The user gains a bonus to Critical Hit Ranges equal to their Tier Level. When using an Attack with “Tail” in its name, they have a Bonus to Damage Rolls equal to your Tier Value."
Reckless,At-Will - Free Action ,"Effect: During this Turn you ignore Physical and Special Evasion on all Targets. The next Attack you're Targeted by treats you as if you were Vulnerable.
Bonus: The user gains +3 DB to Attacks with the Recoil or Reckless Keyword",,,,"At-Will - Free Action 
Effect: During this Turn you ignore Physical and Special Evasion on all Targets. The next Attack you're Targeted by treats you as if you were Vulnerable.
Bonus: The user gains +3 DB to Attacks with the Recoil or Reckless Keyword"
Refreshing Veil,Scene - Swift Action,"Connection - Aqua Ring. 
Effect: The Target is cured of all Physical Afflictions. If the Target is affected by an Aqua Ring Coat, this Frequency is not expended, however they cannot be Targeted by Refreshing Veil for the remainder of the Scene. 
Bonus: While the Weather is Rainy, the user and all allies within 2m have a bonus to Save Checks equal to your Tier Level. ",,An Ally within 5m,,"Scene - Swift Action
Target - An Ally within 5m
Connection - Aqua Ring. 
Effect: The Target is cured of all Physical Afflictions. If the Target is affected by an Aqua Ring Coat, this Frequency is not expended, however they cannot be Targeted by Refreshing Veil for the remainder of the Scene. 
Bonus: While the Weather is Rainy, the user and all allies within 2m have a bonus to Save Checks equal to your Tier Level. "
Regal Challenge,Scene - Swift Action,"Effect: Ask each Enemy within 5m if they will show Deference or Defiance. If a Combatant chooses Deference, they cannot Attack the user on their next turn (Ignoring Provoked), then lose -2 CS in a Stat of the user's Choice. If they choose Defiance, they become Provoked by the user until the end of their next Turn.  ",,,,"Scene - Swift Action
Effect: Ask each Enemy within 5m if they will show Deference or Defiance. If a Combatant chooses Deference, they cannot Attack the user on their next turn (Ignoring Provoked), then lose -2 CS in a Stat of the user's Choice. If they choose Defiance, they become Provoked by the user until the end of their next Turn.  "
Regenerator,At-Will - Reaction,"Effect: After Damage Resolution, the user restores a Tick of Hit Points.
Special: If the user was under 50% Hit Points when the Triggering Attack occurred, this may be used as a Free Action instead.",The user is hit by a Damaging Attack and doesn't Faint,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack and doesn't Faint
Effect: After Damage Resolution, the user restores a Tick of Hit Points.
Special: If the user was under 50% Hit Points when the Triggering Attack occurred, this may be used as a Free Action instead."
Reliquary,Scene x2 - Free Action,"Effect: The user may choose an Attack from their Known Attack List and use it as a Standard Action, as if it was on their Current Attack List.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category.",,,,"Scene x2 - Free Action
Effect: The user may choose an Attack from their Known Attack List and use it as a Standard Action, as if it was on their Current Attack List.
Bonus: The user gains bonus Attack Slots equal to their Tier Level. Attacks that occupy these Slots must be Status Category."
